Date;BTC;ETH;DOGE;LTC;HEX
2021-10-30;62239.363281;4414.243652;0.287764;196.424026;0.223754
2021-10-31;61850.488281;4322.744141;0.269239;190.443848;0.216096
2021-11-01;61320.449219;4288.217285;0.280123;192.045029;0.232601
2021-11-02;60963.253906;4322.500977;0.271892;197.625671;0.221761
2021-11-03;63254.335938;4589.684570;0.273504;200.718933;0.227767
2021-11-04;62941.804688;4604.678711;0.269112;207.283096;0.223152
2021-11-05;61460.078125;4537.423340;0.263655;202.951843;0.206075
2021-11-06;61068.875000;4482.647949;0.261264;199.298004;0.209744
2021-11-07;61554.921875;4523.981934;0.261971;197.897263;0.193240
2021-11-08;63344.066406;4619.649414;0.266728;202.302353;0.175262
2021-11-09;67549.734375;4810.071289;0.282539;228.876678;0.167905
2021-11-10;66953.335938;4733.362793;0.273597;262.158417;0.191483
2021-11-11;64978.890625;4635.453613;0.255705;260.891754;0.182405
2021-11-12;64863.980469;4724.306641;0.260937;262.605072;0.240039
2021-11-13;64158.121094;4666.719238;0.259618;251.193390;0.267146
2021-11-14;64455.371094;4648.632813;0.261591;257.988800;0.250323
2021-11-15;65521.289063;4627.090820;0.262870;279.240936;0.244684
2021-11-16;63721.195313;4570.478027;0.257094;263.305054;0.233127
2021-11-17;60139.621094;4213.910645;0.237010;230.643829;0.207673
2021-11-18;60360.136719;4287.802246;0.237556;229.753036;0.204426
2021-11-19;56896.128906;3995.729492;0.220995;204.151947;0.216948
2021-11-20;58115.082031;4298.350586;0.233174;218.118835;0.203258
2021-11-21;59730.507813;4412.195313;0.233255;226.940842;0.212069
2021-11-22;58706.847656;4266.509277;0.226160;221.718384;0.192745
2021-11-23;56304.554688;4089.680420;0.219666;209.313446;0.188126
2021-11-24;57565.851563;4340.036133;0.226680;216.362534;0.182517
2021-11-25;57165.417969;4271.394531;0.217132;212.233459;0.175937
2021-11-26;58960.285156;4522.208984;0.221047;222.910370;0.204748
2021-11-27;53736.429688;4042.999023;0.201429;195.557861;0.192403
2021-11-28;54813.023438;4101.648926;0.205295;195.414597;0.183277
2021-11-29;57291.906250;4296.946777;0.207444;199.590988;0.174016
2021-11-30;57830.113281;4447.768066;0.215111;205.733047;0.183441
2021-12-01;56907.964844;4623.679688;0.214487;207.636612;0.171464
2021-12-02;57217.371094;4586.333008;0.209476;208.895142;0.180348
2021-12-03;56509.164063;4514.355957;0.209463;203.568359;0.180482
2021-12-04;53727.878906;4227.762207;0.200356;188.348557;0.172164
2021-12-05;49201.519531;4119.628906;0.178263;162.957245;0.165606
